	gene_name	label	10uM_K99A vs. No_Peptide logFC	100uM_K99A vs. No_Peptide logFC	0_1uM_PCC vs. No_Peptide logFC	10uM_PCC vs. No_Peptide logFC
NM_053217	2010002M12Rik	0	0.49571793871558295	2.81902436171648	2.8741105930274804	4.47186558491916
NM_001081977	Rnf144a	0	0.497716312651459	2.53924845532037	2.8291578800801402	3.8201331045719598
NM_001163610	Nhsl2	0	0.5052413480889121	2.375890115718	2.67953969357808	3.79901342464381
NM_177448	Mogat2	0	0.508108614152859	2.4786007011604703	3.3270703042927403	4.979660326844201
NM_001082960	Itgam	0	0.512093463787255	2.09656279646481	2.29841789531329	3.8077893270825602
NM_001289428	Pira6	0	0.512296262610404	1.98508660620343	2.5424979951323903	3.7557641825325296
NM_001166672	Gm14548	0	0.512296267947743	1.98975418876921	2.5424989063298398	3.75576410798984
NM_011088	Pira11	0	0.5122963180744721	1.98975355620522	2.54249879800771	3.75576287128318
NM_011087	Pira1	0	0.517315777736647	2.0143258834403	2.54149464250252	3.7652121575568303
NM_008611	Mmp8	0	0.517864902342082	2.6939756184889903	3.12427024974755	5.2714738257630005
NM_001174155	Rasgrp4	0	0.52183272005214	2.01610878096692	2.25490460848315	3.4854575972708304
NM_001163796	Treml4	0	0.52435564516999	2.6709446200776097	3.11547063552975	3.81192080051785
NM_016740	S100a11	0	0.5269640490580321	2.07695645516891	2.4178281579149	3.0531018721636496
NM_010266	Gda	0	0.530721081404529	2.3772354330327405	2.64451541801913	4.073577946911961
NM_024204	Ankrd22	0	0.5308688402915349	2.6950617215060095	2.98217595036061	4.40411324692623
NM_173869	Stfa2l1	0	0.53199396900569	2.87962556028215	2.9130711101687097	5.3498443644240705
NM_011094	Pira7	0	0.532010093437479	2.00899311680345	2.41777272693685	3.62114253147699
NM_011091	Pira4	0	0.532010249163738	2.00899316070406	2.41777223769732	3.6211367640988303
NM_205820	Tlr13	0	0.533711336768794	1.98688768538795	2.49692168108354	4.225556235135
NM_030017	Rdh12	0	0.534351172341098	2.5852639709834	2.7668907756345202	3.78764794958511
NM_001081326	Agl	0	0.5357623872820779	2.02503491427331	2.30732014265977	3.5688194887036198
NM_178639	Sfxn5	0	0.5380599909592539	2.5941965943248397	2.6741350785237796	4.01282353067379
NM_001128146	5830411N06Rik	0	0.5429536297467751	2.08789848606055	2.4268142738625698	4.41924931467147
NM_008795	Cdk18	0	0.5447051582811789	1.83540434058826	2.2198553803879504	3.63617674713707
NM_001081062	Ccno	0	0.545215832097833	2.62741580525501	2.6489282161885197	3.99632142107471
NM_008489	Lbp	0	0.550758906909105	2.69440301678465	2.7104418290352403	4.6732466413263
NM_007675	Ceacam10	0	0.553269138472583	1.70801343408371	2.23442280098159	4.71681779230625
NM_177686	Clec12a	0	0.5547282340808449	1.76062205365927	2.19606461274114	4.00366627293345
NM_001042710	Prss57	0	0.558646721347814	2.2568713810068397	2.6609207990011803	3.12587650541025
NM_008405	Itgb2l	0	0.5586516913697239	2.18624310276806	2.48889241001481	3.95403624659496
NM_011299	Rps6ka2	0	0.558684550781379	2.3163054888142596	2.63103885206311	3.2531545971181806
NM_007577	C5ar1	0	0.560470537362609	2.33678705361833	2.67345126266564	4.268456499849109
NM_001080780	Ret	0	0.563590438612568	3.19883575393749	3.12176053071956	3.1745660261145403
NM_001174107	Map3k9	0	0.5670906452207889	2.22940470122216	2.47735802130163	3.6189469581290696
NM_011242	Rasgrp2	0	0.567192143456256	2.13919807948372	2.4010470029882596	3.4438497809957402
NM_009924	Cnr2	0	0.56985037985972	2.27077204064647	2.36835900017363	3.11504809651654
NM_001205336	Arap3	0	0.5711173820044859	2.44858967139405	2.4589527306742203	3.57443591035891
NM_172476	Tmc7	0	0.571462897101079	2.39344432213172	2.37278178636608	4.27577202464022
NM_026862	Cd177	0	0.5735688650963872	1.8347850336467701	2.3374085071160597	4.27520536281115
NM_009705	Arg2	0	0.5779132407427869	2.05759017214725	2.2937255592221097	4.15255385466598
NM_172909	Cd163l1	0	0.587628517927462	1.6099565456026	2.2551845551385	4.7833068029618095
NM_181754	Gpr141	0	0.5886858641770529	2.3940608470951403	2.76704478057832	3.68352693995542
NM_011410	Slfn4	0	0.594686844306624	2.01912546659863	2.24285097355517	4.12541000852974
NM_153804	Plekhg3	0	0.597176118666479	2.13851048171774	2.4797480580860096	3.7154699171975696
NM_001177896	9830107B12Rik	0	0.600872164607694	2.5991119258766298	2.9199079985458303	4.30727489454779
NM_001033378	A430078G23Rik	0	0.603670299312955	2.31889264981477	2.39735849602301	3.3610750154450297
NM_178796	A530064D06Rik	0	0.609879264747078	2.912495268555	3.0418959834272794	4.52942495881725
NM_010824	Mpo	0	0.6112280135130009	1.9358952633515802	2.95220553807701	4.87708184616338
NM_199018	Stard8	0	0.615511716140225	2.08715423219939	2.3008473401021696	3.39430571564546
NM_133203	Klra17	0	0.620799321474021	2.86313974233651	2.6242005137338196	4.40995806811551
NM_001033464	Cracr2a	0	0.6243885286297011	2.7024233636669903	2.2458496128586	3.6432190333336902
NM_145838	St8sia6	0	0.6254355954505539	2.50833776106966	2.68766391443804	3.35222091499196
NM_011594	Timp2	0	0.627382471403451	2.37226474615558	2.5690078119366095	3.0192969778007104
NM_007496	Zfhx3	0	0.629117011459203	2.7073643980045	2.9513093610231698	3.5107286331560403
NM_001290338	Zfand4	0	0.629225197371561	2.85784668810841	3.5582389199538795	3.9453420962024803
NM_011950	Mapk13	0	0.6336881365290711	2.10948166611011	2.56902940838818	3.62322875515177
NM_145833	Lin28a	0	0.6360116798831961	2.9128367324739504	3.02269138737578	4.07473184221859
NM_133198	Pygl	0	0.639051842090934	2.31122238835075	2.67755734126843	4.35024066367667
NM_013521	Fpr1	0	0.639468347365724	2.1562790272763204	2.2797608085312002	3.40541607058223
NM_013650	S100a8	0	0.640347451706607	2.06941468749886	2.40624059863431	4.06551925774441
NM_001033632	Ifitm6	0	0.641310396202942	2.01593051090886	2.4256405712624702	4.25034365311468
NM_001111096	Lyn	0	0.6437426360515129	2.22809910828133	2.38335415858785	3.39884945057896
NM_001037747	Card9	0	0.647249040347571	2.40773507270786	2.629821043843	3.6173433355282403
NM_019945	Mast1	0	0.6482594373875811	2.1950097242469297	3.0511799757955997	2.673166209394
NM_025943	Dzip1	0	0.648749807352366	2.30741798802612	2.4171952563027204	3.4427693466211404
NM_001081289	Fam217b	0	0.6502006845406	2.9123108007641805	3.34657023779265	3.5115363050479798
NM_028724	Rin2	0	0.6528747734151589	2.40612717697036	2.7333526768974603	4.91541706905784
NM_024228	Gdpd3	0	0.6540359958344829	2.25413525234376	1.9824078579378799	3.69081901130324
NM_018769	Dfna5	0	0.654511138703923	2.55097386063833	2.92853131095211	4.32675628585695
NM_008245	Hhex	0	0.655125095900578	2.42383944700302	2.23920304299394	3.27263744661702
NM_001284519	Cmah	0	0.658403522214981	2.20549197876363	2.20033552330597	3.26203436232212
NM_001033228	Itga1	0	0.658975304734907	1.95925208439226	2.8300589247018997	3.8663589416850095
NM_011212	Ptpre	0	0.6611241910413249	2.12605442092552	2.30368521327538	3.16712919183249
NM_011436	Sorl1	0	0.663039362771525	2.4514722764714505	2.7562446955050097	3.86057217615546
NM_172286	6430548M08Rik	0	0.6720541227002409	2.4506009376007003	2.78475061807863	4.310609142474069
NM_001003955	Rab11fip5	0	0.67206507592473	2.2389708644534903	2.53794866985019	3.91611285019114
NM_177068	Olfml2b	0	0.673857334900575	2.13248697077098	2.72854071271204	4.2732327314179095
NM_138650	Dgkg	0	0.6741936310546429	2.56156457993383	2.6982637058545094	3.73286994619703
NM_175645	Xylt1	0	0.674374149450452	2.18337152971466	2.3560126583127405	2.9979853630065696
NM_010730	Anxa1	0	0.677501985620054	2.52854310083831	2.9648489721888196	4.591916615083201
NM_001079686	Syne1	0	0.677931797438678	2.58581610143473	2.79505468152494	3.78336128683291
NM_010188	Fcgr3	0	0.6798096035968622	2.26269179377279	2.59909745439754	4.094272909980799
NM_172463	Sned1	0	0.680004238506162	2.97714584761086	2.49857127116685	4.37991484493594
NM_008685	Nfe2	0	0.6819312835898641	2.05479734059608	2.2905456298954197	3.17738486555747
NM_001024721	BC094916	0	0.682197496592336	2.0763168884534697	2.03158258759722	4.0447199431899
NM_015749	Tcn2	0	0.6822542416098721	2.15509871084869	2.35391701910594	3.3407022277497
NM_009667	Ampd3	0	0.6840968637716199	2.39044611822231	2.5899312574343596	4.24597173932601
NM_178220	Arrb1	0	0.684975993430948	2.14769784251869	2.38815966677215	3.1953582338157798
NM_138301	Trpm2	0	0.6854855734176659	2.5084985685766203	2.6798242431443997	3.77702249939926
NM_001163138	Card6	0	0.694309453556028	2.42547301041343	2.47584198989037	3.34357704558705
NM_026639	Art4	0	0.695914955439768	2.88795314420112	2.35156229304094	3.3544401001535697
NM_007392	Acta2	0	0.700378424883078	2.6171631895555	3.1004025606285204	5.58175457575254
NM_183115	Ccdc125	0	0.70615551488451	2.4232981982469104	2.81123374947348	3.5566104610216005
NM_001271599	Sort1	0	0.7085699529494991	2.48903706934942	2.82620253937556	3.9793603356132996
NM_019686	Cib2	0	0.7111534015995941	1.72170948383165	3.07587618360739	3.62153699240932
NM_030691	Igsf6	0	0.711642835884178	2.2259175268083102	2.36039346921069	3.4549877428577696
NM_025730	Lrrk2	0	0.7117529698134251	2.46867022272033	2.51708182716563	3.23112661826474
NM_026414	Asprv1	0	0.714983921771637	2.30924703406913	2.61896617571771	4.3333630253440205
NM_001039186	Ceacam1	0	0.7189207828327081	2.48671804021681	2.93291036913471	4.36280304441743
NM_001082543	Stfa1	0	0.719348672976933	2.5030892840499903	3.1674811400339298	4.454062472644781
NM_001277255	Acvrl1	0	0.7202622333292859	1.74055458858264	2.65704767831172	3.5631033640732404
NM_174851	Ifnlr1	0	0.72184796513113	2.3710501411204103	3.08411132999268	4.12125402634625
NM_001033711	Evi2a	0	0.722656010165839	2.0299812835863	2.30492514037264	3.31285923412961
NM_001033245	Hk3	0	0.723165282989401	2.12523071575409	2.41009880417238	3.3060864771316805
NM_173415	Nyx	0	0.726002164594193	2.16100865144251	3.04907597868104	4.35350233978499
NM_009114	S100a9	0	0.7308062421099579	2.0250371981588	2.41066939733974	3.82199856082307
NM_175272	Nav2	0	0.732389992405939	2.2080668501225897	2.27944622482577	3.00624162173384
NM_172882	Wdfy3	0	0.7355960865682951	2.6126598134494303	2.6995050967884398	4.07470184955183
NM_080437	Celsr3	0	0.736531684340485	2.31715411389632	2.75267606948717	4.91418703513813
NM_025890	Khdc3	0	0.7370497934601801	3.35258325954901	2.95259317693287	3.83528101271074
NM_009369	Tgfbi	0	0.737603711120328	2.44263719443346	3.02048990040758	5.161986098668611
NM_021406	Trem1	0	0.7411269411033371	2.84674272709978	2.85805864168324	5.1192687992890304
NM_007742	Col1a1	0	0.7423611152182041	2.6631292206443	3.25200200703117	3.78388039441221
NM_016917	Slc40a1	0	0.745606163509986	2.65320942943941	3.0727138796446196	4.874821994460639
NM_010877	Ncf2	0	0.747312203367783	2.58615739705902	3.1276243028071202	3.8993851050000696
NM_008522	Ltf	0	0.7563151528750249	2.0511529985936	2.60476566616085	4.20116051759841
NM_177337	Arl11	0	0.757704815772062	2.22574304454901	2.6508392327057297	4.18597325866215
NM_020561	Smpdl3a	0	0.7599434718686371	2.59609022222689	2.9803041427325296	4.04443550997733
NM_021493	Arhgap23	0	0.7603860071267851	2.31817960449651	2.18271627874983	3.0109706205586804
NM_145923	Rell1	0	0.7650980184447991	2.05062344587638	2.28763097723705	3.5588431749123903
NM_001198787	Aatk	0	0.765554046785442	2.8733096538612903	3.07152514375191	4.38677909040059
NM_011061	Padi4	0	0.768659050355918	2.9457364163586197	3.19517577088493	4.67369279602688
NM_029100	Sepn1	0	0.7688883704980141	2.04112980580744	2.94229620894303	3.13547077592144
NM_019946	Mgst1	0	0.768916804645904	2.17178681769479	2.46616334833894	3.6787182635547
NM_133685	Rab31	0	0.768932393278114	2.25310265820949	2.5583537810286296	3.4684369806142596
NM_177083	B430306N03Rik	0	0.7691991884052509	2.43874059161636	2.64747483445169	4.11997653102281
NM_019737	B4galt6	0	0.7790141613792959	2.46275559455151	2.6774648261333303	3.76715108835805
NM_010740	Cd93	0	0.78123882339811	2.47282396117964	2.71349400163579	4.33269576690834
NM_013759	Msrb1	0	0.784857252501463	2.0990842292615	2.4074280888423596	3.2382223076012098
NM_027990	Lypd6b	0	0.7859108070624641	2.65268646862237	2.5779635381930803	2.97322685955157
NM_010559	Il6ra	0	0.787443905398233	2.29238741852003	2.4162234767896296	2.9146328400982497
NM_026779	Mocos	0	0.7881022567560129	2.0491731769827397	2.53128878106451	3.35973446870813
NM_013515	Stom	0	0.788190757220522	1.9712942074676698	2.3560465381426696	3.24349464702912
NM_010821	Mpeg1	0	0.791840554308116	2.1391692178201898	2.2613357954735496	3.3826888872249703
NM_009663	Alox5ap	0	0.793714573285663	2.47005253312834	2.96272796680722	4.27235114100756
NM_009525	Wnt5b	0	0.795354120888629	4.07051589633366	2.58519056161193	3.40979693211878
NM_001198794	AB124611	0	0.7970509392212801	2.34374291037398	2.68526480719755	3.7013545471831297
NM_023128	Palm	0	0.799838369274538	2.1283648238307897	2.44296833349313	2.9484518999190996
NM_172514	Tmem71	0	0.800479286664305	2.7520196277537	3.00967687806395	4.4865623643356205
NM_026720	Ankrd13d	0	0.800741059232328	2.17131734286237	2.59897293329961	3.03762313869018
NM_013599	Mmp9	0	0.8007722499360309	2.66081106957118	3.06768251799744	4.9775201083041605
NM_011095	Pirb	0	0.8025118996940971	2.26992016407605	2.47224817050444	3.4847056985721805
NM_008491	Lcn2	0	0.8051806849758371	1.9715676588809299	2.3268407310952903	3.5868184164064902
NM_133962	Arhgef18	0	0.806727012240521	2.39849206054269	2.5588126104802003	3.3981572535363798
NM_173370	Cds1	0	0.8085068122524041	2.38322779268363	3.1214627183899997	3.1049452541378395
NM_011723	Xdh	0	0.8102437023368659	2.4422311861711004	2.73154340896291	3.75586819412014
NM_010208	Fgr	0	0.811002977715416	2.1935876736195	2.43251878525666	3.5375814846067595
NM_033602	Peli2	0	0.815823830277117	2.28708794367604	2.67001985283536	3.98998071418604
NM_181584	Gab3	0	0.8270754850194549	2.01285847225835	2.47639964839157	3.4348904019457
NM_053214	Myo1f	0	0.834521691056518	2.27743688990587	2.5527559455037405	3.67555933508553
NM_001206369	Gsn	0	0.835800922846844	2.1787992879688898	2.4880149056939502	3.2885799821658903
NM_001024932	Pilrb2	0	0.836519388957203	2.22687945377298	2.55196143281851	3.48483165514361
NM_007403	Adam8	0	0.8380705023745121	2.21673443675521	2.37909170155842	3.2267721172587205
NM_011820	Ggt5	0	0.838223678496359	2.83005719842978	2.96636551452085	4.772996434171589
NM_026405	Rab32	0	0.838983712660987	2.2829302104101097	2.31669499326025	3.07530028223819
NM_021507	Sqrdl	0	0.839191376467175	2.41483110080693	2.6966582395620398	3.7916434014122498
NM_008250	Hlx	0	0.8442719902252808	1.81568561735322	2.23616188663058	3.3282471492036896
NM_213614	Sept5	0	0.8458220363862521	2.4831880387899	2.89780286290219	4.13714631553228
NM_011990	Slc7a11	0	0.8463067962222071	2.11160095314961	2.29412395199476	3.59051641828129
NM_008059	G0s2	0	0.846612956640196	1.7824403288631498	2.55470689419916	3.09428883950031
NM_010497	Idh1	0	0.847338226408772	2.11890049739446	2.38888656235903	3.1998218885101894
NM_183033	Zfp516	0	0.8493805892955941	1.9989257357203098	2.52148513634048	3.2418917002978502
NM_010819	Clec4d	0	0.850580289898895	2.4617269292099504	2.60529526085376	4.08384464782908
NM_183319	Xkrx	0	0.8559010621423979	2.24579919162312	2.45315427188698	4.16373621584265
NM_144805	Tmem40	0	0.857166645562323	2.39947319123492	2.57213414558296	3.60173602108266
NM_001271411	Nfam1	0	0.8572400484817522	2.5386057428371602	2.82329499794821	4.42950319902745
NM_009970	Csf2ra	0	0.867883197455323	2.37132658593564	2.3204145013082003	3.1382025779283897
NM_001001999	Gp1bb	0	0.869486161808071	2.35773688929746	2.53015843586043	3.3563797493190197
NM_031874	Rab3d	0	0.8709561107695342	2.41891846959458	2.6691027194206	4.10673473101747
NM_008175	Grn	0	0.8756600693817429	2.1262724919952	2.3321025537938795	2.96124631649473
NM_025806	Plbd1	0	0.8769896664778951	2.68032289880769	3.2187165516992797	4.64713300057388
NM_025659	Abi3	0	0.8781811637842192	2.58448666005085	2.8663882628773902	3.6600874394686698
NM_009915	Ccr2	0	0.886564267862601	2.46625387555996	3.22672558904475	4.512499250422559
NM_027334	Mettl7a1	0	0.887040226367703	2.21694499305386	3.1322197968597103	3.43654377710441
NM_145940	Wipi1	0	0.888000133306508	2.3176916510656898	2.75284582727565	3.55504981027054
NM_024444	Cyp4f18	0	0.890673607320973	3.1753360724808597	3.44525899755013	4.1669167394736295
NM_026985	Mcemp1	0	0.8945354412231651	2.2227537669157402	2.5587435412594597	3.9618667618093597
NM_011375	St3gal5	0	0.8960433249024008	2.41193372723021	2.62648465468716	2.9947578585634202
NM_007547	Sirpa	0	0.89922096417847	2.14462590461045	2.46322264753065	3.2340821636746604
NM_173744	Tdrp	0	0.9013067781911841	2.41292835183815	2.6251788867678703	3.2081707109580697
NM_008519	Ltb4r1	0	0.9034011177045359	1.9399585495705602	2.5896061695075403	3.60143736342975
NM_010190	Fcnb	0	0.9074373256124809	2.47313314824584	3.25046723968104	4.29005445767581
NM_029858	Ston1	0	0.909402962227717	3.0050864249508	3.4648466587105204	4.30713307622788
NM_133955	Rhou	0	0.917358983358766	2.60986768320912	3.22176817098764	4.13714691487106
NM_009402	Pglyrp1	0	0.919228768211054	2.12589078064881	2.6302930403863503	3.8300551959138502
NM_153507	Cpne2	0	0.920106334421473	2.42217285201614	2.59263023380897	3.4883302585366898
NM_001127382	Rbm47	0	0.9213356790209191	2.50197417138714	2.57468557969822	3.2458548272876
NM_017370	Hp	0	0.9221356287556991	2.17164814038209	2.4996625676634303	3.56915026694337
NM_011313	S100a6	0	0.9236829818311361	2.2855359190596203	2.9153372656019503	4.28960578183952
NM_008372	Il7r	0	0.9264783416471151	3.05396710712688	3.0862511965987496	4.41140988352046
NM_013739	Dok3	0	0.93030463710874	2.67664929082583	3.1035037333594304	3.85442472127361
NM_080575	Acss1	0	0.933866437873236	2.19428499440826	2.28831044877054	3.18638198441954
NM_011414	Slpi	0	0.941742646020111	2.3512014382050297	2.57043702621915	3.5747197099957995
NM_172938	Scml4	0	0.947423834363364	3.12246806699426	2.73506847389981	4.46449940380523
NM_009656	Aldh2	0	0.9549716653374649	2.40563025466288	2.76974285047426	3.5659503156305803
NM_054054	Brdt	0	0.955014572031496	2.24631739497978	3.13493487207435	3.00148760496941
NM_031159	Apobec1	0	0.9596419495975029	2.4493114034532497	2.68380620915194	3.37658489130198
NM_001114679	9930111J21Rik1	0	0.961011285964115	2.11423190389997	2.29766549476594	3.0060839696493
NM_001114088	Pdlim7	0	0.962350541717769	1.96323854362279	2.51791092601533	2.8885858292911695
NM_027950	Osgin1	0	0.970566133887342	2.42440769148409	2.69684407396214	3.9333011556367006
NM_001271595	Eps8	0	0.9715112538421079	1.7156033575141498	2.1696791060983203	3.65900468930224
NM_025492	1700020L24Rik	0	0.9736812089275999	2.12076518946343	2.38781945494948	4.0849351125646205
NM_010194	Fes	0	0.9746241247447119	2.36469850976192	2.53310194495193	3.3613200334190796
NM_016689	Aqp3	0	0.976153517936582	2.39452005703782	3.4852759781452596	3.06309637298219
NM_011662	Tyrobp	0	0.9819386285563299	2.18749693229148	2.6579171737386	3.82456724888452
NM_025522	Dhrs7	0	0.984676973001576	2.48446533477386	2.73933173352885	3.08909881430099
NM_001204201	Spp1	0	0.9848199063690228	1.84062288482072	2.74244014227431	2.8837119131201603
NM_028595	Ms4a6c	0	0.9880900249849671	2.0912520354066797	2.3753355027859397	2.9339866957379104
NM_053244	Kiss1r	0	0.9882042838419121	2.85448506780221	3.4095937498384	2.41235154283022
NM_178119	Agap1	0	0.9915664933355061	2.15105626475591	2.71113618519701	3.38179834132507
NM_001160345	Svip	0	0.993073331763126	2.5126886446605097	2.2906827847356	4.2769557737931905
NM_029796	Lrg1	0	0.993137028328772	2.31773291388125	2.7744047265458103	4.32425644605149
NM_001081211	Ptafr	0	0.993205625921542	2.1003819912546997	2.13030337636572	3.1522344744899797
NM_026316	Aldh3b1	0	0.9944844887223641	2.1270691461238402	2.5922650657622	3.7749741968849904
NM_007421	Adssl1	0	0.9952825438841919	2.3089054668552698	2.7293676666608198	3.6477589761511
NM_183249	Wfdc21	0	1.00093405912686	1.85509200373856	2.27636545390988	3.4732473862092204
NM_145554	Ldlrap1	0	1.00183352190599	2.4226323872641498	2.34282551725163	2.53542774856342
NM_008846	Pip5k1b	0	1.01220382804274	2.6638471933820895	3.6515850516715496	2.91011112376118
NM_001201323	5430421N21Rik	0	1.0132427757920601	2.48675967928753	2.9604282296987403	4.544254152823861
NM_001199283	Slc43a2	0	1.01351595554498	2.2715010335702597	2.39189977288713	3.05980422350155
NM_010734	Lst1	0	1.0244707109253102	2.06834160366838	2.1990446719294505	3.3706131998175497
NM_016894	Ramp1	0	1.0256034181701	2.29240616849637	2.70851943920439	4.02693083762478
NM_053178	Acsbg1	0	1.02975029620204	1.96593789419146	2.31535314773042	3.0255585656392205
NM_023117	Cdc25b	0	1.03209869437891	2.37748123969938	2.47269077710833	3.03132965410649
NM_001145875	Adtrp	0	1.0333131191682599	1.585386533467	2.63766994138272	4.0639478367678
NM_008920	Prg2	0	1.03480662577705	1.8622475136785803	2.5650737574736002	2.8263936512370003
NM_019687	Slc22a4	0	1.03836922122681	2.4524221505837	3.02554342654104	4.09521996857353
NM_001102404	Acp5	0	1.04425517068863	2.41774292053001	2.4816977772752202	3.0433375651722097
NM_011703	Vipr1	0	1.0465143176445502	2.62777885348116	2.8581148884985	3.56218680933043
NM_017372	Lyz2	0	1.04849395786678	2.86998901105393	3.3069991567934305	4.6151142888012195
NM_175473	Fras1	0	1.0515986335708398	1.9033171210644702	2.58676992348471	3.00624475171072
NM_174876	Impg2	0	1.05172712333382	2.21594241060786	2.52224989136872	3.2758907581653194
NM_207131	Cebpe	0	1.05845171496748	2.32378662937294	2.66216411201716	3.43290952963655
NM_001145884	Itgb5	0	1.0678038499033	2.9786296229798697	3.0969201054235	4.758591357905621
NM_009437	Tst	0	1.07772362501625	2.5526306763730697	2.9083209772157503	3.67544808061683
NM_009155	Sepp1	0	1.08149323463813	3.0322715280583297	3.03452291519961	3.9399976647449497
NM_178149	Pik3ip1	0	1.08283200361876	2.96568155843115	3.07260035208246	4.426198953181769
NM_013600	Msh5	0	1.09417701272408	2.56810748675708	2.44355584706412	2.7957758285362297
NM_021719	Cldn15	0	1.09544025497298	2.55106869824512	3.07331474912557	3.8209991640864103
NM_001004142	Nlrp1a	0	1.09907004899086	2.5215833274962995	3.3119136239843	3.65262141601736
NM_177695	Tmc3	0	1.09981855194142	2.23823898995783	3.05110875722224	3.72837077031752
NM_013737	Pla2g7	0	1.10150871250071	1.9521500682963002	2.2226507263712203	3.11921642312967
NM_019677	Plcb1	0	1.10513002817771	2.37507839734546	3.2911924435859596	4.2209477139853595
NM_170758	Cd300a	0	1.10545970185231	2.5013781238829305	2.7071153897562	4.24502237624096
NM_010358	Gstm1	0	1.10588068103759	2.4649769297630697	3.08127159734977	4.659868731668269
NM_010768	Matk	0	1.10767399021217	2.53157172293479	2.6877811783100296	3.3872745599656997
NM_028810	Rnd3	0	1.10779218666128	2.55197290349929	2.7164514526097703	2.17600078026021
NM_008535	Lyl1	0	1.1094642325497701	2.41432619239416	2.6628373278889303	2.88045294630412
NM_021407	Trem3	0	1.11322767746648	2.4820156120848798	2.70385045764873	4.47672505052115
NM_013612	Slc11a1	0	1.11448109336348	2.11505741053611	2.39707018849873	3.6077599589732796
NM_001044308	Cacna1i	0	1.11776479220738	2.4002064097077502	2.47891494054956	3.7574432841884904
NM_001254745	E030030I06Rik	0	1.12044295257984	2.71847410832925	2.9894555808741003	3.04266290888004
NM_008727	Npr1	0	1.14169560577824	1.6875015675384701	2.2158097858435295	3.51571415097219
NM_023465	Ctnnbip1	0	1.14329829250473	2.34860486868681	2.6022895683389304	2.26691394537353
NM_026185	Abhd15	0	1.14769865462322	2.87395374323932	3.42648505471938	4.4053013597861295
NM_026835	Ms4a6d	0	1.15421227849278	2.10053503822907	2.0735624859486204	3.14292395635841
